2022-10-06 16:54:47,683 INFO   {restartedMain} org.springframework.boot.StartupInfoLogger:55 - Starting KspringApplicationKt using Java 11.0.15 on BR0C02FJ46UMD6M with PID 17024 (/Users/fpizzicola/workspaces/TESTES/kspring/build/classes/kotlin/main started by fpizzicola in /Users/fpizzicola/workspaces/TESTES/kspring)
2022-10-06 16:54:47,693 INFO   {restartedMain} org.springframework.boot.SpringApplication:634 - No active profile set, falling back to 1 default profile: "default"
2022-10-06 16:54:47,758 INFO   {restartedMain} org.springframework.boot.logging.DeferredLog:255 - Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
2022-10-06 16:54:47,759 INFO   {restartedMain} org.springframework.boot.logging.DeferredLog:255 - For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG'
2022-10-06 16:54:48,878 INFO   {restartedMain} org.springframework.boot.web.embedded.tomcat.TomcatWebServer:108 - Tomcat initialized with port(s): 4567 (http)
2022-10-06 16:54:48,889 INFO   {restartedMain} org.apache.juli.logging.DirectJDKLog:173 - Initializing ProtocolHandler ["http-nio-4567"]
2022-10-06 16:54:48,890 INFO   {restartedMain} org.apache.juli.logging.DirectJDKLog:173 - Starting service [Tomcat]
2022-10-06 16:54:48,890 INFO   {restartedMain} org.apache.juli.logging.DirectJDKLog:173 - Starting Servlet engine: [Apache Tomcat/9.0.65]
2022-10-06 16:54:48,955 INFO   {restartedMain} org.apache.juli.logging.DirectJDKLog:173 - Initializing Spring embedded WebApplicationContext
2022-10-06 16:54:48,955 INFO   {restartedMain} org.springframework.boot.web.servlet.context.ServletWebServerApplicationContext:292 - Root WebApplicationContext: initialization completed in 1196 ms
2022-10-06 16:54:49,361 INFO   {restartedMain} org.springframework.boot.devtools.autoconfigure.OptionalLiveReloadServer:58 - LiveReload server is running on port 35729
2022-10-06 16:54:49,372 INFO   {restartedMain} org.apache.juli.logging.DirectJDKLog:173 - Starting ProtocolHandler ["http-nio-4567"]
2022-10-06 16:54:49,398 INFO   {restartedMain} org.springframework.boot.web.embedded.tomcat.TomcatWebServer:220 - Tomcat started on port(s): 4567 (http) with context path ''
2022-10-06 16:54:49,410 INFO   {restartedMain} org.springframework.boot.StartupInfoLogger:61 - Started KspringApplicationKt in 4.327 seconds (JVM running for 5.327)
2022-10-06 16:55:06,256 INFO   {http-nio-4567-exec-1} org.apache.juli.logging.DirectJDKLog:173 - Initializing Spring DispatcherServlet 'dispatcherServlet'
2022-10-06 16:55:06,257 INFO   {http-nio-4567-exec-1} org.springframework.web.servlet.FrameworkServlet:525 - Initializing Servlet 'dispatcherServlet'
2022-10-06 16:55:06,259 INFO   {http-nio-4567-exec-1} org.springframework.web.servlet.FrameworkServlet:547 - Completed initialization in 2 ms
2022-10-06 16:55:06,290 INFO   {http-nio-4567-exec-1} tech.talk.kspring.rest.DefaultRest:24 - Request received
2022-10-06 16:55:30,431 INFO   {http-nio-4567-exec-3} tech.talk.kspring.rest.PokemonRest:26 - Starting Poke Search: 10
2022-10-06 16:55:31,273 INFO   {http-nio-4567-exec-3} tech.talk.kspring.rest.PokemonRest:30 - Poke Search Finished: 10
2022-10-06 16:56:24,570 INFO   {http-nio-4567-exec-5} tech.talk.kspring.rest.PokemonRest:26 - Starting Poke Search: bulbasaur
2022-10-06 16:56:24,991 INFO   {http-nio-4567-exec-5} tech.talk.kspring.rest.PokemonRest:30 - Poke Search Finished: bulbasaur
2022-10-06 16:58:42,417 INFO   {restartedMain} org.springframework.boot.StartupInfoLogger:55 - Starting KspringApplicationKt using Java 11.0.15 on BR0C02FJ46UMD6M with PID 17153 (/Users/fpizzicola/workspaces/TESTES/kspring/build/classes/kotlin/main started by fpizzicola in /Users/fpizzicola/workspaces/TESTES/kspring)
2022-10-06 16:58:42,422 INFO   {restartedMain} org.springframework.boot.SpringApplication:634 - No active profile set, falling back to 1 default profile: "default"
2022-10-06 16:58:42,485 INFO   {restartedMain} org.springframework.boot.logging.DeferredLog:255 - Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
2022-10-06 16:58:42,486 INFO   {restartedMain} org.springframework.boot.logging.DeferredLog:255 - For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG'
2022-10-06 16:58:43,643 INFO   {restartedMain} org.springframework.boot.web.embedded.tomcat.TomcatWebServer:108 - Tomcat initialized with port(s): 4567 (http)
2022-10-06 16:58:43,657 INFO   {restartedMain} org.apache.juli.logging.DirectJDKLog:173 - Initializing ProtocolHandler ["http-nio-4567"]
2022-10-06 16:58:43,658 INFO   {restartedMain} org.apache.juli.logging.DirectJDKLog:173 - Starting service [Tomcat]
2022-10-06 16:58:43,658 INFO   {restartedMain} org.apache.juli.logging.DirectJDKLog:173 - Starting Servlet engine: [Apache Tomcat/9.0.65]
2022-10-06 16:58:43,726 INFO   {restartedMain} org.apache.juli.logging.DirectJDKLog:173 - Initializing Spring embedded WebApplicationContext
2022-10-06 16:58:43,726 INFO   {restartedMain} org.springframework.boot.web.servlet.context.ServletWebServerApplicationContext:292 - Root WebApplicationContext: initialization completed in 1239 ms
2022-10-06 16:58:44,144 INFO   {restartedMain} org.springframework.boot.devtools.autoconfigure.OptionalLiveReloadServer:58 - LiveReload server is running on port 35729
2022-10-06 16:58:44,159 INFO   {restartedMain} org.apache.juli.logging.DirectJDKLog:173 - Starting ProtocolHandler ["http-nio-4567"]
2022-10-06 16:58:44,185 INFO   {restartedMain} org.springframework.boot.web.embedded.tomcat.TomcatWebServer:220 - Tomcat started on port(s): 4567 (http) with context path ''
2022-10-06 16:58:44,196 INFO   {restartedMain} org.springframework.boot.StartupInfoLogger:61 - Started KspringApplicationKt in 2.204 seconds (JVM running for 3.071)
2022-10-06 16:58:54,303 INFO   {http-nio-4567-exec-1} org.apache.juli.logging.DirectJDKLog:173 - Initializing Spring DispatcherServlet 'dispatcherServlet'
2022-10-06 16:58:54,305 INFO   {http-nio-4567-exec-1} org.springframework.web.servlet.FrameworkServlet:525 - Initializing Servlet 'dispatcherServlet'
2022-10-06 16:58:54,306 INFO   {http-nio-4567-exec-1} org.springframework.web.servlet.FrameworkServlet:547 - Completed initialization in 1 ms
2022-10-06 16:58:54,330 INFO   {http-nio-4567-exec-1} tech.talk.kspring.rest.DefaultRest:24 - Request received
